state,park,parkcode,category,address,zipcode,phone
alabama,Birmingham Civil Rights,bicr,National Monument,"Birmingham, AL",35203,205-568-3963
alabama,Freedom Riders,frri,National Monument,"Anniston, AL",36202,(256) 237-3536
alabama,Horseshoe Bend,hobe,National Military Park,"Daviston, AL",36256,(256) 234-7111
alabama,Little River Canyon,liri,National Preserve,"Fort Payne, AL",35967,(256) 845-9605
alabama,Natchez Trace,natr,Parkway,"Tupelo, MS",38804,(800) 305-7417
alabama,Natchez Trace,natt,National Scenic Trail,"Tupelo, MS",38804,18003057417
alabama,Russell Cave,ruca,National Monument,"Bridgeport, AL",35740,(256) 495-2672
alabama,Selma To Montgomery,semo,National Historic Trail,"Hayneville, AL",36040,(334) 877-1983
alabama,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098
alabama,Tuskegee Airmen,tuai,National Historic Site,"Tuskegee, AL",36083,(334) 724-0922
alabama,Tuskegee Institute,tuin,National Historic Site,"Tuskegee Institute, AL",36088,(334) 727-3200
alaska,Alagnak,alag,Wild River,"King Salmon, AK",99613,(907) 246-3305
alaska,Alaska Public Lands,anch,,"Anchorage, AK",99501,(907) 644-3661
alaska,Aleutian Islands World War II,aleu,National Historic Area,"Anchorage, AK",99501,(907) 644-3472
alaska,Aniakchak,ania,National Monument & Preserve,"KIng Salmon, AK",99613,(907) 246-3305
alaska,Bering Land Bridge,bela,National Preserve,"Nome, AK",99762,(800) 471-2352
alaska,Cape Krusenstern,cakr,National Monument,"Kotzebue, AK",99752,(907) 442-3890
alaska,Denali,dena,National Park & Preserve,"Denali Park, AK",99755,(907) 683-9532
alaska,Gates Of The Arctic,gaar,National Park & Preserve,"Fairbanks, AK",99701,907-459-3730
alaska,Glacier Bay,glba,National Park & Preserve,"Gustavus, AK",99826,(907) 697-2230
alaska,Iñupiat Heritage Center,inup,,"Barrow, AK",99723,(907) 852-0422
alaska,Katmai,katm,National Park & Preserve,"King Salmon, AK",99613,(907) 246-3305
alaska,Kenai Fjords,kefj,National Park,"Seward, AK",99664,(907) 422-0500
alaska,Klondike Gold Rush,klgo,National Historical Park,"Skagway, AK",99840,(907) 983-9200
alaska,Kobuk Valley,kova,National Park,"Kotzebue, AK",99752,(907) 442-3890
alaska,Lake Clark,lacl,National Park & Preserve,"Port Alsworth, AK",99653,(907) 781-2218
alaska,Noatak,noat,National Preserve,"Kotzebue, AK",99752,(907) 442-3890
alaska,Sitka,sitk,National Historical Park,"Sitka, AK",99835,(907) 747-0110
